text,label
rice leaves turning yellow,nutrient_deficiency
wheat plant has rust spots,fungal_disease
cotton leaves eaten by insects,pest_infestation
tomato plant white powder on leaves,fungal_disease
maize crop drying due to heat,heat_stress
rice plant not growing properly,nutrient_deficiency
leaf curl virus in cotton,viral_disease
unwanted weeds in field,weed_infestation
soil too dry crop dying,water_stress
rice leaves have brown spots,fungal_disease
wheat crop wilting in summer,water_stress
cotton bollworm attack,pest_infestation
tomato early blight disease,fungal_disease
rice blast disease,fungal_disease
yellow leaves in paddy,nutrient_deficiency
sugarcane red rot disease,fungal_disease
groundnut tikka disease,fungal_disease
maize stalk rot,fungal_disease
soybean rust disease,fungal_disease
tomato mosaic virus,viral_disease
cotton leaf curl virus,viral_disease
rice tungro virus,viral_disease
maize streak virus,viral_disease
tomato bacterial wilt,bacterial_disease
rice bacterial blight,bacterial_disease
wheat karnal bunt,fungal_disease
paddy sheath blight,fungal_disease
rice brown planthopper infestation,pest_infestation
cotton whitefly attack,pest_infestation
tomato fruit borer worm,pest_infestation
wheat aphid infestation,pest_infestation
sugarcane internode borer,pest_infestation
groundnut caterpillar damage,pest_infestation
maize corn borer attack,pest_infestation
soybean pod borer,pest_infestation
rice field drying up no water,water_stress
wheat wilting from drought,water_stress
cotton drooping leaves no rain,water_stress
tomato plant shriveling,water_stress
maize leaf rolling drought,water_stress
sugarcane drying in summer heat,heat_stress
tomato sunscald damage,heat_stress
wheat tip burn from hot weather,heat_stress
rice grain sterility heat damage,heat_stress
cotton flower drop heat stress,heat_stress
rice field full of weeds,weed_infestation
wheat crop competition from grass,weed_infestation
sugarcane weed problem,weed_infestation
cotton field overgrown weeds,weed_infestation
maize wild grass competition,weed_infestation
paddy nitrogen deficiency yellow leaves,nutrient_deficiency
wheat phosphorus deficiency poor growth,nutrient_deficiency
tomato magnesium deficiency yellowing,nutrient_deficiency
maize zinc deficiency white stripe,nutrient_deficiency
sugarcane iron chlorosis pale leaves,nutrient_deficiency
cotton potassium deficiency leaf margin burn,nutrient_deficiency
soybean sulfur deficiency stunted,nutrient_deficiency
groundnut calcium deficiency,nutrient_deficiency
rice water soaked lesions bacterial,bacterial_disease
wheat soft rot bacterial infection,bacterial_disease
cotton angular spots bacterial blight,bacterial_disease
tomato canker bacterial disease,bacterial_disease
my rice leaves are turning yellow and falling,nutrient_deficiency
the paddy crop has pale green color,nutrient_deficiency
leaves of wheat plant look washed out,nutrient_deficiency
rice plant growth is stunted and slow,nutrient_deficiency
yellowing between leaf veins maize,nutrient_deficiency
tomato lower leaves yellow nutrient issue,nutrient_deficiency
white powdery coating on tomato leaves,fungal_disease
brown circular spots on rice leaves,fungal_disease
orange rust on wheat stems,fungal_disease
black smut on sorghum heads,fungal_disease
gray mold on tomato fruits,fungal_disease
downy mildew on cucumbers,fungal_disease
powdery mildew on wheat,fungal_disease
blight spots on potato leaves,fungal_disease
late blight tomato dark brown spots,fungal_disease
anthracnose on mango fruits,fungal_disease
holes in cotton leaves from insects,pest_infestation
caterpillar damage on tomato plants,pest_infestation
white flies on bottom of tomato leaves,pest_infestation
thrips damage silver streaks on onion,pest_infestation
mites webbing on brinjal leaves,pest_infestation
mealy bug infestation on grapes,pest_infestation
aphids cluster on wheat new growth,pest_infestation
scale insects on sugarcane,pest_infestation
rice stem borer dead heart symptom,pest_infestation
armyworm damage on maize leaves,pest_infestation
leaves curling and mosaic pattern on tomato,viral_disease
ring spots on papaya leaves,viral_disease
leaf distortion on pepper,viral_disease
yellow mosaic in soybean,viral_disease
leaf curl on okra plant,viral_disease
vein clearing on bean leaves,viral_disease
streak pattern on maize leaves,viral_disease
mottled leaves on cucumber,viral_disease
necrotic spots on groundnut,viral_disease
